name,status,review_date,slides,trainer_notes,review_status,
OKR and CPD,Done,2022-05-23,https://docs.google.com/presentation/d/1kHQArkIomlycsXt79gFEFg8QU1RE8HViUXff7IVDXYM/edit?usp=sharing,,Embedding
Documentation,Done,,https://docs.google.com/presentation/d/1Q84G_q85SO9Vwh54tLxrbQJQYMNjQap7FqkRzKWr0GA/edit?usp=sharing,,
Processes and Automation,Done,2022-06-10,https://docs.google.com/presentation/d/1yOjnqbg2UEGjQrTMwkeK57rYGUmCxaL2lXlJNfnYzrM/edit,https://docs.google.com/document/d/1axTGmrap9koE_Vb26wzUsYQNV88sqCVwFVBByClngXk/edit?usp=sharing,
Importance of Source Control,Done,2022-05-20,https://docs.google.com/presentation/d/1VlZmDh8wm8JYmm81N3iSJ3hKGFpMx3JalaYaKbmk5VQ/edit?usp=sharing,,Review
Security 2,Done,2022-06-10,https://docs.google.com/presentation/d/1FmZx6vCpGQUA4SkBXFy76vN5uPn0Q57Flvf8wYIux8c/edit?usp=sharing,,AOK
Understanding Remote/Asynchronous working,prep,,,,Basic set up
Communication and Scheduling,prep,,,,Basic set up
Remote Scrum Workshop,Done,,,,
Hack Day - Calculator,Stuck,2022-06-10,,,
How to create a Test Plan,prep,2022-06-24,,,Basic set up
Understanding Projects,Done,2022-05-23,,https://docs.google.com/document/d/1OpxiBEvv7NjZxxVjUnoOxVIaGvfDVTvtiKoCMNXgDyA/edit?usp=sharing,
Project Workflows,Done,,https://docs.google.com/presentation/d/12wehc6UhRWdNWWsQkXTX45JF_eO5_aY0KdUfeB7uVHU/edit?usp=sharing,https://docs.google.com/document/d/1R1l0kZdsfpuxGYx_4FawLpxreACu3cLmZRv2HFqrbd4/edit?usp=sharing,
HTML & CSS Recap,,,https://docs.google.com/presentation/d/1cYlPsJjH5Z_CPwufzUW7iZQ_x5wQOBvOunrcA2kwFWs/edit?usp=sharing,,
"Loops, Arrays & Objects Practical",,,https://docs.google.com/presentation/d/1rbAefhQ0GugqCaSBOp_qvP72U1Srem55ZLimau9K2rQ/edit?usp=sharing,https://docs.google.com/document/d/1QVLn1m2Jbe1Y3_AcX_VvsoNbO7_HnblUmjsR72_ak4s/edit?usp=sharing,
